bdd02765	Smal skohylla i bambu med sex plan | Fyndplats	Smal skohylla i bambu med sex plan, 30 × 29 × 108 cm, för upp till 9 par skor i storlek 40. Levereras monterad och bär 5 kg per plan.
a96f4c7e	Puff med förvaring i vit manchester | Fyndplats	Puff med förvaring i vit manchester, 35 × 35 × 45 cm. Locket vänds till ett bord med marmormönster, och puffen bär 120 kg.
ac1cc9a5	Asymmetrisk spegel, två väggspeglar i set | Fyndplats	Asymmetrisk spegel i två storlekar, 70 × 46 och 49,5 × 31 cm, formade som kiselstenar. Svart metallram, 3,5 mm glas och förmonterade krokar.
af2ca910	Piedestal för växter, tre i vit metall | Fyndplats	Piedestal för växter i tre storlekar, 50, 60 och 70 cm, i vit pulverlackad metall som tål väta. Bär 10, 20 och 30 kg, för inne och ute.
0c9f870d	Helkroppsspegel med bågform i svart | Fyndplats	Helkroppsspegel med bågform, 161,5 × 50 cm, i svart aluminium med härdat glas. Står fritt på stödet, lutas mot väggen eller hängs upp.
22f7688b	Speedball med väggfäste och roterande stång | Fyndplats	Speedball med väggfäste och roterande stång för reflexträning. Boll Ø22 cm i konstläder, stålram och ställbar höjd. Pump ingår.
6db49bc9	Spegel med guldram i barockstil, 60 × 87 cm | Fyndplats	Spegel med guldram i barockstil, 60 × 87 cm, med blomornament som går att ta av. Glas på 4 mm, målad metallram och två krokar.
753907f5	Svart pedalhink 30 liter, mjukstängande | Fyndplats	Svart pedalhink på 30 liter, 29 × 36 × 59,5 cm, med mjukstängande lock som kan stå öppet och löstagbar innerhink med påshållare.
77e6e472	Sophink med sensor, 48 liter i rostfritt stål | Fyndplats	Sophink med sensor på 48 liter i rostfritt stål. Locket öppnas på 0,5 sekunder utan beröring och stängs tyst. 33 × 25 × 69 cm.
9d2c88bd	Soptunna med lock och sensor, 50 liter | Fyndplats	Soptunna med lock och sensor på 50 liter i rostfritt stål, 33 × 25 × 84 cm. Öppnas när du kommer inom 20–35 cm, och sensorn kan stängas av.
f173eee1	Runt barbord, höj- och sänkbart | Fyndplats	Runt barbord som höjs och sänks mellan 67 och 93 cm med gaskolv. Skiva Ø63 cm i svart konstläder, pelare och fot i krom. Bär 50 kg.
1612e633	Grå vardagsrumsmatta 160 × 230 cm | Fyndplats	Vardagsrumsmatta 160 × 230 cm med abstrakt mönster i grått och neutrala toner. Mjuk polyester, halkfri baksida och klarar golvvärme.
7d982b40	Låg bokhylla med åtta fack i ekdekor | Fyndplats	Låg bokhylla med åtta förskjutna fack i ekdekor, 97,5 × 30 × 100 cm. Bär 50 kg totalt och 5 kg per hyllplan.
86bbd2eb	Clown till halloween, 170 cm med ljud | Fyndplats	Clown till halloween, 170 cm hög. Rörelsesensorn startar skratt, tal, skakningar och röda ögon som lyser. Batterier ingår.
d242e56d	Häxa till halloween, 189 cm med lysande pumpa | Fyndplats	Häxa till halloween, 189 cm hög, med röda ögon och en pumpa som lyser blått. Böjbar arm, för inomhus och under tak. Batterier ingår.
