# kort, huvudsökord, volym, svårighet, sekundära sökord ('–' = inget mätvärde, Semrush-enheterna slut)
# Varje huvudsökord är sökt i butikens sökning 2026-09-26; där en publicerad slug redan bar ordet valdes en smalare variant:
# uppblåsbar pingvin (1 slug) → uppblåsbar julpingvin, konstgjord palm (3) → konstgjord palm 125 cm, konstgjord bambu (5)
# → konstgjord bambu 120 cm, uppblåsbar tomte (9) → uppblåsbar tomte 120 cm, gungstol (24) → gungstol med nackstöd och
# gungstol med fickor, loungefåtölj (6) → loungefåtölj med fotpall, läsfåtölj (3) → läsfåtölj manchester.
# halloweendekoration och halloweendekoration utomhus är N66:s huvudord för två clowner, så skelettspökena tar halloween skelett.
# Säsongskurvan för uppblåsbar tomte (Semrush): toppen ligger i november–december, så julfigurerna publiceras i god tid.
21839061	halloween skelett	–	–	halloween dekoration (2400, 18); halloweenspöken; halloween trädgård
55017e3e	halloween häxa	210	13	halloween dekoration (2400, 18); halloweenfigur med ljud
d4a79b77	rosenbåge	–	–	trädgårdsbåge; klätterväxtstöd; spaljé
3f2bf381	uppblåsbar julpingvin	–	–	juldekoration utomhus (1300, 18); uppblåsbar juldekoration
19526d20	uppblåsbar isbjörn	–	–	juldekoration utomhus (1300, 18); uppblåsbar juldekoration
5ea9939c	juldekoration utomhus	1300	18	uppblåsbar julgran med tomte; uppblåsbar juldekoration
ab747da4	konstgjord palm 125 cm	–	–	konstgjord palm (140, 11); konstväxt palm (70, 15); konstväxt (2900, 20)
935f0ff6	konstgjord bambu 120 cm	–	–	konstgjord bambu; konstväxt (2900, 20)
1236c73a	konstgjord svärmorstunga	–	–	konstväxt (2900, 20); svärmorstunga
93dfdaba	uppblåsbar julgran	–	–	juldekoration utomhus (1300, 18); uppblåsbar juldekoration
4362ebd1	konstgräsplattor	–	–	konstgräs balkong; konstgräs
516ca092	uppblåsbar tomte 120 cm	–	–	uppblåsbar tomte (880, –); juldekoration utomhus (1300, 18)
c0b12a9f	vedställ utomhus	590	15	vedställ (3600, 25)
526d7fb5	modulär bäddsoffa	–	–	bäddsoffa (49500, 27); liten bäddsoffa (2900, 22); bäddsoffa grön
5a1e8d57	gungstol med nackstöd	–	–	gungstol; gungfåtölj; läsfåtölj (1300, 16)
cfac92b3	loungefåtölj med fotpall	–	–	loungefåtölj (2400, 19); snurrbar fåtölj
8e7a2b9a	gungstol med fickor	–	–	gungstol; gungfåtölj
3387604c	läsfåtölj manchester	–	–	läsfåtölj (1300, 16); loungefåtölj (2400, 19); fåtölj med fotpall
e1d34336	snurrfåtölj	–	–	loungefåtölj (2400, 19); fåtölj med fotpall; sammetsfåtölj
f8f44ef7	sidobord med hjul	–	–	sidobord (18100, 18); sidobord soffa (720, 22)
