9053bc1a	Litet runt matbord Ø75 cm med korsade ben | Fyndplats	Litet runt matbord för två till fyra: skiva på Ø75 cm i ljusbrun träton och korsade ben i svart pulverlackerat stål. 75 cm högt och bär 60 kg.
295bb20f	Smalt barbord 120 cm i vit marmorlook | Fyndplats	Smalt barbord i vit marmorlook med svart stålram. Skivan är 120 × 40 cm, bordet 100 cm högt och det bär 30 kg. För köket, som bardisk eller i hallen.
8ed2dc38	Rund spegel med belysning Ø70 cm, antiimma | Fyndplats	Rund badrumsspegel Ø70 cm med LED-ring i varmvitt, vitt och kallvitt, dimbar med touch. Antiimma, minnesfunktion och IP44 för badrummet.
af9378d6	Runt soffbord i grå marmorlook, två storlekar | Fyndplats	Två runda soffbord i grå marmorlook som skjuts in i varandra: Ø78,5 × 46,5 cm och Ø59 × 36,5 cm. Svart metallram, och borden bär 50 kg vardera.
40d0af10	Liten pall i mörkgrå linnelook, fotpall | Fyndplats	Liten fotpall i mörkgrå linnelook, 40 × 30 × 24 cm, med skumstoppning och svarta ben. Bär 110 kg: fotstöd, extra sittplats eller litet bord.
0a4958cc	Hallspegel 60 × 80 cm med vit ram | Fyndplats	Rektangulär väggspegel med vit ram i MDF, 60 × 80 cm. Fyra krokar på baksidan: hängs stående eller liggande i hallen, badrummet eller sovrummet.
a6657b3d	Konstgjord ficus benjamina 150 cm | Fyndplats	Konstgjord ficus benjamina, 150 cm hög, med täta gröna blad i PEVA och en kruka i betong som håller den stadig. Behöver varken vatten eller gödsel.
376caddc	Stor konstväxt, dieffenbachia 120 cm | Fyndplats	Stor konstväxt: en dieffenbachia på 120 cm med breda gulrandiga blad i PEVA, böjbara grenar och en kruka fylld med cement. Behöver aldrig vattnas.
792562e3	Julgran i plast 210 cm med 499 spetsar | Fyndplats	Julgran i plast, 210 cm hög och Ø60 cm, med 499 grenspetsar och fylliga grenar. Foten tas av och fälls ihop för förvaring. Pynt ingår inte.
7727e1bf	Konstgjord gran 210 cm, smal, Ø55 cm | Fyndplats	Smal konstgjord gran, 210 cm hög och bara Ø55 cm, med 499 grenspetsar i plast. Tar lite golvyta, och foten tas av och fälls ihop. Pynt ingår inte.
520cc521	Billig julgran 180 cm i grönt, Ø55 cm | Fyndplats	Billig konstgjord julgran i grönt, 180 cm hög och Ø55 cm, med 390 grenspetsar i plast. Foten tas av och fälls ihop efter jul. Pynt ingår inte.
2ffa80f1	Gnistgaller i tre delar, 96 cm, svart | Fyndplats	Gnistgaller för öppen spis i svart pulverlackerad metall: tre delar, 96 cm brett och 56 cm högt. För spisöppningar på 50–90 cm, fälls ihop till 50 cm.
