# Semrush, databas se. Semrush svarade 403 API UNITS BALANCE IS ZERO den 2026-09-24,
# så raderna nedan är hämtade ur tidigare rundors sokord.tsv (september 2026). sökord, sökningar/mån, svårighet (0–100), runda
fåtölj	60500	27	runda-n64-nyaste
matbord	27100	26	runda-n64-nyaste
runt matbord	18100	26	runda-n58-billigast
barstolar	8100	25	runda-n64-nyaste
matbord runt	4400	22	runda-n65-nyaste
runt bord	3600	23	runda-n58-billigast
halloween dekoration	2400	18	runda-n57-billigast
halloweendekoration	2400	18	runda-n57-billigast
loungefåtölj	2400	19	runda-n64-nyaste
barpall	1600	23	runda-n64-nyaste
gnistskydd	1300	13	runda-n65-nyaste
halloween clown	1300	20	runda-n57-billigast
skänk vit	1300	16	runda-n58-billigast
gnistskydd öppen spis	590	10	runda-n65-nyaste
halloween dekoration utomhus	480	12	runda-n57-billigast
barstol höj och sänkbar	390	21	runda-n64-nyaste
sminkpall	390	10	runda-n59-billigast
pall till sminkbord	210	20	runda-n59-billigast
eldskydd	170	12	runda-n65-nyaste
barstol snurrbar	140	9	runda-n64-nyaste
fåtölj med armstöd	110	13	runda-n64-nyaste
brasskydd	50	15	runda-n65-nyaste
barstolar 2-pack	30	0	runda-n64-nyaste
airfryer	–	–	inget mätvärde
airfryer ugn	–	–	inget mätvärde
bred fåtölj	–	–	inget mätvärde
cykelförråd	–	–	inget mätvärde
elektrisk reclinerfåtölj	–	–	inget mätvärde
elmotorcykel barn	–	–	inget mätvärde
elmotorcykel för småbarn	–	–	inget mätvärde
fåtölj med fotstöd	–	–	inget mätvärde
kantskydd studsmatta	–	–	inget mätvärde
krypmatta	–	–	inget mätvärde
lekmatta	–	–	inget mätvärde
lekmatta baby	–	–	inget mätvärde
matbord 8 personer	–	–	inget mätvärde
miniugn	–	–	inget mätvärde
pall med hjul	–	–	inget mätvärde
plåtbod	–	–	inget mätvärde
redskapsbod	–	–	inget mätvärde
redskapsbod metall	–	–	inget mätvärde
salongspall	–	–	inget mätvärde
sideboard	–	–	inget mätvärde
skänk	–	–	inget mätvärde
studsmatta 305	–	–	inget mätvärde
tv-fåtölj	–	–	inget mätvärde
utdragbart matbord	–	–	inget mätvärde
varmluftsfritös	–	–	inget mätvärde
