# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
spegel	33100	18	1
julgran	22200	25	1
runt matbord	18100	26	1
pall	14800	25	1
fotpall	8100	18	1
runt soffbord	8100	18	1
soffbord runt	8100	25	1
barbord	6600	20	1
badrumsspegel	5400	23	1
plastgran	5400	25	1
spegel med belysning	5400	21	1
matbord runt	4400	22	1
rund spegel	4400	17	1
badrumsspegel med belysning	3600	22	1
fikus	3600	20	1
konstgjorda växter	3600	23	1
köksbord runt	3600	25	1
runt bord	3600	23	1
runt köksbord	3600	23	1
satsbord	3600	13	1
konstväxt	2900	20	1
konstväxter	2900	20	1
soffbord marmor	2900	13	1
litet matbord	2400	21	1
marmor soffbord	2400	15	1
väggspegel	2400	18	1
fotstöd	1900	17	1
sittpall	1900	16	1
ståbord	1900	11	1
julgran plast	1600	19	1
litet köksbord	1600	23	1
gnistskydd	1300	13	1
rund spegel med belysning	1300	17	1
bardisk	1000	18	1
hallspegel	1000	21	1
liten pall	1000	19	1
litet runt matbord	1000	20	1
runda soffbord	1000	23	1
konstgran	880	15	1
spegel hall	880	16	1
ficus	720	18	1
led spegel	720	13	1
dieffenbachia	590	11	0.75
gnistskydd öppen spis	590	10	1
julgran smal	590	16	1
smal julgran	590	14	1
billig julgran	480	20	0.83
smalt barbord	480	13	1
fotpall soffa	390	11	1
gnistgaller	390	8	1
högt bord	390	17	1
konstgjord julgran	390	20	1
konstgjord växt	390	21	1
soffbord grå	390	13	1
spegel med ljus	390	22	1
vit spegel	390	13	1
konstgjorda träd	320	7	1
konstgjort träd	320	7	1
rektangulär spegel	320	14	1
rund badrumsspegel	320	16	1
barbord kök	260	16	1
ficus benjamina	260	13	1
julgran 210 cm	260	16	1
julgran konstgjord	260	18	0.75
konstgjord gran	260	10	1
badrumsspegel rund	210	15	1
julgran 180 cm	210	13	1
matbord för två	210	14	1
spegel vit ram	210	12	1
badrumsspegel led	170	15	1
eldskydd	170	12	0.95
fotpall grå	170	13	1
konstväxt stor	170	14	1
led spegel badrum	110	10	1
spegel 60x80	110	18	1
barbord 120 cm	90	13	1
satsbord runt	70	13	1
brasskydd	50	15	1
hög julgran	50	11	1
smal gran	50	10	0.81
spisgaller	40	17	0.99
grön julgran	30	11	0
rund led spegel	30	7	1
stor konstväxt	30	15	1
vit väggspegel	30	0	1
brasskärm	20	0	0.77
konstgjord fikus	20	0	1
väggspegel vit	20	0	1
barbord marmor	10	0	1
pelargran	10	0	0.77
konstgjord ficus	0	0	0
